Start hr:min:sec,End hr:min:sec,Transcription,Annotation,Layer,Index
0:00:00,0:00:03,Gloria Anzaldúa: What’s today?,,,
0:00:03,0:00:05,Chela Sandoval: I don’t know…I think it’s the 9th…,,,
0:00:05,0:00:15,GA: Today is July 9th and Chela’s gonna read my palms. How about that?,[Link to correspondence to Chela about the trip to Santa Cruz],,
0:00:15,0:00:19,[Inaudible],,,
0:00:19,0:00:22,GA: Bueno entonces…,"Anzaldua is heard speaking Spanish throughout the tapes, particularly when she seems to be more comfortable. In one recording, Sally Gearhart remarks on Anzaldua's tendency to ""lapse into Spanish"" (mp3 #62 Side B).",,
0:00:22,0:00:24,"CS: Let’s see, you’re right-handed?",,,
0:00:24,0:00:28,GA: I’m right-handed but my left hand dominates.,,,
0:00:28,0:00:29,CS: Do you write with your right hand?,,,
0:00:29,0:00:30,GA: I write with my right hand.,,,
0:00:30,0:00:33,CS: Were you taught to write with your right hand when you were little?,,,
0:00:33,0:00:37,GA: *interjecting/cross talk* I was switched when I was little…,,,
0:00:33,0:00:37,CS: [inaudible] left-handed?,"Sandoval and Anzaldua continue to discuss which of Anzaldua's hands is dominant, eventually agreeing to read Anzaldua's left hand as her non-dominant hand. Later, at [00:08:29] they decide to read alternatively, with Anzaldua's right hand as non-dominant. Here, both women show their investment in the precision of technique, while also showing flexibility in its application to uncover knowledge.",,
0:00:37,0:00:56,"GA: See, the part of me that predominates is the right brain. You know, whichever palm you put over first when you do like that? Okay you’re left-brained–I mean–you’re a right-handed person. I’m a left-handed person even though I write with my right hand.",,,
0:00:56,0:00:59,"CS: And when you grab for something, do you grab with your left hand?",,,
0:00:59,0:01:09,"GA: Um, up until it broke. I was doing most of the things with my left hand but then I broke this arm so then I started doing things with this right hand.",,,
0:01:09,0:01:13,CS: So would you tell me that you’re left handed or right handed?,,,
0:01:13,0:01:16,GA: Right now I’m right handed but naturally I’m ambidextrous. When I was little…,,,
0:01:16,0:01:19,"CS: When you were born, when you were born were you left-handed?",,,
